"EMPLOYEE_ID","FIRST_NAME","LAST_NAME","EMAIL","PHONE_NUMBER","HIRE_DATE","JOB_ID","SALARY","COMMISSION_PCT","MANAGER_ID","DEPARTMENT_ID"
145,John,Russell,JRUSSEL,"011.44.1344.429268","2004-10-01 00:00:00",SA_MAN,14000.0,0.4,100,80
146,Karen,Partners,KPARTNER,"011.44.1344.467268","2005-01-05 00:00:00",SA_MAN,13500.0,0.3,100,80
147,Alberto,Errazuriz,AERRAZUR,"011.44.1344.429278","2005-03-10 00:00:00",SA_MAN,12000.0,0.3,100,80
148,Gerald,Cambrault,GCAMBRAU,"011.44.1344.619268","2007-10-15 00:00:00",SA_MAN,11000.0,0.3,100,80
149,Eleni,Zlotkey,EZLOTKEY,"011.44.1344.429018","2008-01-29 00:00:00",SA_MAN,10500.0,0.2,100,80
150,Peter,Tucker,PTUCKER,"011.44.1344.129268","2005-01-30 00:00:00",SA_REP,10000.0,0.3,145,80
151,David,Bernstein,DBERNSTE,"011.44.1344.345268","2005-03-24 00:00:00",SA_REP,9500.0,0.25,145,80
152,Peter,Hall,PHALL,"011.44.1344.478968","2005-08-20 00:00:00",SA_REP,9000.0,0.25,145,80
153,Christopher,Olsen,COLSEN,"011.44.1344.498718","2006-03-30 00:00:00",SA_REP,8000.0,0.2,145,80
154,Nanette,Cambrault,NCAMBRAU,"011.44.1344.987668","2006-12-09 00:00:00",SA_REP,7500.0,0.2,145,80
155,Oliver,Tuvault,OTUVAULT,"011.44.1344.486508","2007-11-23 00:00:00",SA_REP,7000.0,0.15,145,80
156,Janette,King,JKING,"011.44.1345.429268","2004-01-30 00:00:00",SA_REP,10000.0,0.35,146,80
157,Patrick,Sully,PSULLY,"011.44.1345.929268","2004-03-04 00:00:00",SA_REP,9500.0,0.35,146,80
158,Allan,McEwen,AMCEWEN,"011.44.1345.829268","2004-08-01 00:00:00",SA_REP,9000.0,0.35,146,80
159,Lindsey,Smith,LSMITH,"011.44.1345.729268","2005-03-10 00:00:00",SA_REP,8000.0,0.3,146,80
160,Louise,Doran,LDORAN,"011.44.1345.629268","2005-12-15 00:00:00",SA_REP,7500.0,0.3,146,80
161,Sarath,Sewall,SSEWALL,"011.44.1345.529268","2006-11-03 00:00:00",SA_REP,7000.0,0.25,146,80
162,Clara,Vishney,CVISHNEY,"011.44.1346.129268","2005-11-11 00:00:00",SA_REP,10500.0,0.25,147,80
163,Danielle,Greene,DGREENE,"011.44.1346.229268","2007-03-19 00:00:00",SA_REP,9500.0,0.15,147,80
164,Mattea,Marvins,MMARVINS,"011.44.1346.329268","2008-01-24 00:00:00",SA_REP,7200.0,0.1,147,80
165,David,Lee,DLEE,"011.44.1346.529268","2008-02-23 00:00:00",SA_REP,6800.0,0.1,147,80
166,Sundar,Ande,SANDE,"011.44.1346.629268","2008-03-24 00:00:00",SA_REP,6400.0,0.1,147,80
167,Amit,Banda,ABANDA,"011.44.1346.729268","2008-04-21 00:00:00",SA_REP,6200.0,0.1,147,80
168,Lisa,Ozer,LOZER,"011.44.1343.929268","2005-03-11 00:00:00",SA_REP,11500.0,0.25,148,80
169,Harrison,Bloom,HBLOOM,"011.44.1343.829268","2006-03-23 00:00:00",SA_REP,10000.0,0.2,148,80
170,Tayler,Fox,TFOX,"011.44.1343.729268","2006-01-24 00:00:00",SA_REP,9600.0,0.2,148,80
171,William,Smith,WSMITH,"011.44.1343.629268","2007-02-23 00:00:00",SA_REP,7400.0,0.15,148,80
172,Elizabeth,Bates,EBATES,"011.44.1343.529268","2007-03-24 00:00:00",SA_REP,7300.0,0.15,148,80
173,Sundita,Kumar,SKUMAR,"011.44.1343.329268","2008-04-21 00:00:00",SA_REP,6100.0,0.1,148,80
174,Ellen,Abel,EABEL,"011.44.1644.429267","2004-05-11 00:00:00",SA_REP,11000.0,0.3,149,80
175,Alyssa,Hutton,AHUTTON,"011.44.1644.429266","2005-03-19 00:00:00",SA_REP,8800.0,0.25,149,80
176,Jonathon,Taylor,JTAYLOR,"011.44.1644.429265","2006-03-24 00:00:00",SA_REP,8600.0,0.2,149,80
177,Jack,Livingston,JLIVINGS,"011.44.1644.429264","2006-04-23 00:00:00",SA_REP,8400.0,0.2,149,80
179,Charles,Johnson,CJOHNSON,"011.44.1644.429262","2008-01-04 00:00:00",SA_REP,6200.0,0.1,149,80
